GeneID	ID	DexseqFragment	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	riExonStart_0base	riExonEnd	exonBaseMean	dispersion	stat	pvalue	padj	Bnaive	CD8naive	log2fold_CD8naive_Bnaive	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.case_bnaive	countData.case_cd8naive	transcripts
ENSG00000089157.16	A3SS_9325	E018	RPLP0	chr12	-	120198553	120198770	120198553	120198631	120198853	120199000	9325	854,727,407,2782,1871	2,2,0,2,5	2398,3648,2934,1919,3083	7,5,1,3,15	239	100	1	1.0	0.994,0.993,1.0,0.998,0.994	0.993,0.997,0.999,0.996,0.989	0.001									35.9868387496529	0.0371355367247262	3.59817188471544	0.0578431460669104	0.569293933966496	11.6052690163773	9.47706915152377	-0.619191964836585	chr12	120198740	120198744	5	-	45,41,35,16,37	42,31,36,36,50	ENST00000551258.5, ENST00000548568.5, ENST00000546564.5, ENST00000547173.5
ENSG00000089157.16	A3SS_9325	E017	RPLP0	chr12	-	120198553	120198770	120198553	120198631	120198853	120199000	9325	854,727,407,2782,1871	2,2,0,2,5	2398,3648,2934,1919,3083	7,5,1,3,15	239	100	1	1.0	0.994,0.993,1.0,0.998,0.994	0.993,0.997,0.999,0.996,0.989	0.001									1149.74192988844	0.000110425030941253	7.18936072702019	0.00733371037316471	0.253022603631164	40.6545664013116	40.0810590936074	-0.0720751339112056	chr12	120198704	120198739	36	-	930,1517,1056,448,840	1712,1928,1282,1479,1064	ENST00000552461.5, ENST00000546564.5, ENST00000551258.5, ENST00000547173.5, ENST00000550856.5, ENST00000547191.5, ENST00000548568.5, ENST00000547475.5, ENST00000228306.8, ENST00000546990.5, ENST00000547211.5, ENST00000549098.5, ENST00000392514.9, ENST00000551150.5
ENSG00000089157.16	A3SS_9325	E016	RPLP0	chr12	-	120198553	120198770	120198553	120198631	120198853	120199000	9325	854,727,407,2782,1871	2,2,0,2,5	2398,3648,2934,1919,3083	7,5,1,3,15	239	100	1	1.0	0.994,0.993,1.0,0.998,0.994	0.993,0.997,0.999,0.996,0.989	0.001									1366.66682640253	0.000175787717757985	6.69251271436892	0.00968186488185881	0.286309441379585	42.6077240275497	42.0523690769509	-0.0690092191430409	chr12	120198632	120198703	72	-	1156,1740,1242,541,974	1985,2327,1486,1800,1249	ENST00000552461.5, ENST00000546564.5, ENST00000551258.5, ENST00000547173.5, ENST00000550856.5, ENST00000548568.5, ENST00000547475.5, ENST00000228306.8, ENST00000546990.5, ENST00000547211.5, ENST00000549098.5, ENST00000392514.9, ENST00000551150.5
ENSG00000089157.16	A3SS_9326	E020	RPLP0	chr12	-	120198553	120198770	120198553	120198739	120198853	120199000	9326	23,13,10,47,27	798,699,370,2709,1894	49,48,54,33,53	2361,3559,2629,1859,3210	131	100	0.745986303887	1.0	0.022,0.014,0.02,0.013,0.011	0.016,0.01,0.015,0.013,0.012	0.003									28.153457246583	0.0529626278187933	3.44064762415792	0.0636107538484049	0.586669504373583	10.5063663316594	8.33603212627141	-0.699325775705724	chr12	120198756	120198770	15	-	34,26,38,12,31	34,25,23,25,43	ENST00000546564.5, ENST00000551258.5, ENST00000547173.5, ENST00000552902.5, ENST00000548568.5, ENST00000550296.5
ENSG00000089157.16	A3SS_9326	E019	RPLP0	chr12	-	120198553	120198770	120198553	120198739	120198853	120199000	9326	23,13,10,47,27	798,699,370,2709,1894	49,48,54,33,53	2361,3559,2629,1859,3210	131	100	0.745986303887	1.0	0.022,0.014,0.02,0.013,0.011	0.016,0.01,0.015,0.013,0.012	0.003									24.6827741967457	0.069038395429031	2.42100511226414	0.119718094129357	0.703348699614502	9.84198481017567	7.83780644789843	-0.684465676232056	chr12	120198745	120198755	11	-	30,20,30,10,31	33,18,22,22,37	ENST00000546564.5, ENST00000551258.5, ENST00000547173.5, ENST00000548568.5, ENST00000550296.5
ENSG00000089157.16	A3SS_9326	E018	RPLP0	chr12	-	120198553	120198770	120198553	120198739	120198853	120199000	9326	23,13,10,47,27	798,699,370,2709,1894	49,48,54,33,53	2361,3559,2629,1859,3210	131	100	0.745986303887	1.0	0.022,0.014,0.02,0.013,0.011	0.016,0.01,0.015,0.013,0.012	0.003									35.9868387496529	0.0371355367247262	3.59817188471544	0.0578431460669104	0.569293933966496	11.6052690163773	9.47706915152377	-0.619191964836585	chr12	120198740	120198744	5	-	45,41,35,16,37	42,31,36,36,50	ENST00000551258.5, ENST00000548568.5, ENST00000546564.5, ENST00000547173.5
ENSG00000089157.16	A3SS_9327	E020	RPLP0	chr12	-	120198553	120198770	120198553	120198739	120198894	120199000	9327	21,13,9,47,28	0,0,0,1,1	53,45,54,36,61	1,0,0,0,1	131	100	1	1.0	1.0,1.0,1.0,0.973,0.955	0.976,1.0,1.0,1.0,0.979	-0.005									28.153457246583	0.0529626278187933	3.44064762415792	0.0636107538484049	0.586669504373583	10.5063663316594	8.33603212627141	-0.699325775705724	chr12	120198756	120198770	15	-	34,26,38,12,31	34,25,23,25,43	ENST00000546564.5, ENST00000551258.5, ENST00000547173.5, ENST00000552902.5, ENST00000548568.5, ENST00000550296.5
ENSG00000089157.16	A3SS_9327	E019	RPLP0	chr12	-	120198553	120198770	120198553	120198739	120198894	120199000	9327	21,13,9,47,28	0,0,0,1,1	53,45,54,36,61	1,0,0,0,1	131	100	1	1.0	1.0,1.0,1.0,0.973,0.955	0.976,1.0,1.0,1.0,0.979	-0.005									24.6827741967457	0.069038395429031	2.42100511226414	0.119718094129357	0.703348699614502	9.84198481017567	7.83780644789843	-0.684465676232056	chr12	120198745	120198755	11	-	30,20,30,10,31	33,18,22,22,37	ENST00000546564.5, ENST00000551258.5, ENST00000547173.5, ENST00000548568.5, ENST00000550296.5
ENSG00000089157.16	A3SS_9327	E018	RPLP0	chr12	-	120198553	120198770	120198553	120198739	120198894	120199000	9327	21,13,9,47,28	0,0,0,1,1	53,45,54,36,61	1,0,0,0,1	131	100	1	1.0	1.0,1.0,1.0,0.973,0.955	0.976,1.0,1.0,1.0,0.979	-0.005									35.9868387496529	0.0371355367247262	3.59817188471544	0.0578431460669104	0.569293933966496	11.6052690163773	9.47706915152377	-0.619191964836585	chr12	120198740	120198744	5	-	45,41,35,16,37	42,31,36,36,50	ENST00000551258.5, ENST00000548568.5, ENST00000546564.5, ENST00000547173.5
ENSG00000089157.16	A3SS_9328	E037	RPLP0	chr12	-	120199117	120199485	120199117	120199205	120200729	120200831	9328	1677,1578,775,5717,4378	0,0,0,0,1	5118,7604,5671,4315,6821	1,0,1,0,0	380	100	1	1.0	1.0,1.0,1.0,1.0,0.999	0.999,1.0,0.999,1.0,1.0	0.0									1217.40573676503	0.00136308426810447	0.156248549592988	0.69263413786485	0.982109346231753	41.0411974487225	41.1736342880428	0.0165695152893992	chr12	120199457	120199485	29	-	899,1607,1226,401,830	1892,2073,1353,1634,1213	ENST00000547173.5, ENST00000547191.5, ENST00000228306.8, ENST00000549098.5, ENST00000548495.5, ENST00000552461.5, ENST00000551258.5, ENST00000546989.5, ENST00000552902.5, ENST00000313104.9, ENST00000548568.5, ENST00000551336.1, ENST00000551150.5, ENST00000548551.5, ENST00000550856.5, ENST00000547475.5, ENST00000546990.5, ENST00000551914.1, ENST00000546564.5, ENST00000551783.1, ENST00000550423.5, ENST00000549242.1, ENST00000550296.5, ENST00000392514.9
ENSG00000089157.16	A3SS_9328	E036	RPLP0	chr12	-	120199117	120199485	120199117	120199205	120200729	120200831	9328	1677,1578,775,5717,4378	0,0,0,0,1	5118,7604,5671,4315,6821	1,0,1,0,0	380	100	1	1.0	1.0,1.0,1.0,1.0,0.999	0.999,1.0,0.999,1.0,1.0	0.0									1475.2563649617	0.000660673205603305	1.03012285447278	0.310129814437642	0.867443473010147	43.1149118359624	43.4498524171076	0.0414177315184645	chr12	120199426	120199456	31	-	1100,1897,1448,499,976	2297,2533,1667,2020,1424	ENST00000547173.5, ENST00000547191.5, ENST00000228306.8, ENST00000549098.5, ENST00000548495.5, ENST00000552461.5, ENST00000551258.5, ENST00000546989.5, ENST00000552902.5, ENST00000313104.9, ENST00000548568.5, ENST00000551150.5, ENST00000548551.5, ENST00000550856.5, ENST00000547475.5, ENST00000546990.5, ENST00000551914.1, ENST00000546564.5, ENST00000551783.1, ENST00000550423.5, ENST00000549242.1, ENST00000550296.5, ENST00000392514.9
ENSG00000089157.16	A3SS_9328	E035	RPLP0	chr12	-	120199117	120199485	120199117	120199205	120200729	120200831	9328	1677,1578,775,5717,4378	0,0,0,0,1	5118,7604,5671,4315,6821	1,0,1,0,0	380	100	1	1.0	1.0,1.0,1.0,1.0,0.999	0.999,1.0,0.999,1.0,1.0	0.0									2208.20242533885	0.000120893333365205	0.0964266680507819	0.756160658626468	0.992744944629993	47.9862814254263	47.9887692549234	0.000301765926330688	chr12	120199310	120199425	116	-	1715,2753,2146,799,1534	3412,3737,2506,2978,2024	ENST00000547173.5, ENST00000547191.5, ENST00000228306.8, ENST00000549098.5, ENST00000548495.5, ENST00000552461.5, ENST00000551258.5, ENST00000546989.5, ENST00000552902.5, ENST00000313104.9, ENST00000548568.5, ENST00000551150.5, ENST00000548551.5, ENST00000550856.5, ENST00000547475.5, ENST00000546990.5, ENST00000551914.1, ENST00000546564.5, ENST00000551783.1, ENST00000550423.5, ENST00000549242.1, ENST00000550296.5, ENST00000547211.5, ENST00000392514.9
ENSG00000089157.16	A3SS_9328	E034	RPLP0	chr12	-	120199117	120199485	120199117	120199205	120200729	120200831	9328	1677,1578,775,5717,4378	0,0,0,0,1	5118,7604,5671,4315,6821	1,0,1,0,0	380	100	1	1.0	1.0,1.0,1.0,1.0,0.999	0.999,1.0,0.999,1.0,1.0	0.0									62.8350639511668	0.00270361946731352	0.00162080479918814	0.967886465086774	1.0	13.4607225547233	13.5186613202132	0.0135915068588517	chr12	120199206	120199309	104	-	40,74,66,32,41	101,101,79,72,66	ENST00000548495.5, ENST00000551783.1, ENST00000549242.1
ENSG00000109971.14	A3SS_10853	E043	HSPA8	chr11	-	123060592	123060798	123060592	123060675	123061119	123061329	10853	47,27,10,313,69	0,0,0,0,0	352,709,703,1576,925	0,0,0,0,4	223	100	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.99	0.002									113.751040095408	0.00937878894683646	1.40397397810605	0.236059328809715	0.822922340743042	14.6811241858243	15.3389366458945	0.141546150672059	chr11	123060676	123060697	22	-	26,94,17,3,17	277,191,91,184,385	ENST00000526110.5, ENST00000532182.5, ENST00000534624.6, ENST00000530391.1, ENST00000524590.5, ENST00000227378.7, ENST00000532636.5, ENST00000534567.5, ENST00000532780.5, ENST00000527983.5, ENST00000527387.5, ENST00000525624.5, ENST00000528292.5, ENST00000453788.6
ENSG00000109971.14	A3SS_10853	E042	HSPA8	chr11	-	123060592	123060798	123060592	123060675	123061119	123061329	10853	47,27,10,313,69	0,0,0,0,0	352,709,703,1576,925	0,0,0,0,4	223	100	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.99	0.002									142.524770384188	0.00687835988282069	0.975196615494895	0.323387568585068	0.873232874476124	16.3892066300297	16.9261635570141	0.106600062946769	chr11	123060607	123060675	69	-	28,112,32,4,25	359,249,116,232,455	ENST00000526110.5, ENST00000532182.5, ENST00000525463.5, ENST00000534624.6, ENST00000530391.1, ENST00000524590.5, ENST00000227378.7, ENST00000532636.5, ENST00000534567.5, ENST00000532780.5, ENST00000527983.5, ENST00000527387.5, ENST00000525624.5, ENST00000528292.5, ENST00000453788.6
ENSG00000109971.14	A3SS_10853	E041	HSPA8	chr11	-	123060592	123060798	123060592	123060675	123061119	123061329	10853	47,27,10,313,69	0,0,0,0,0	352,709,703,1576,925	0,0,0,0,4	223	100	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.99	0.002									102.341182691844	0.00393433708192299	1.75099550868765	0.185751631994892	0.781422606390446	13.8717248987306	14.6879179700407	0.182798473212727	chr11	123060593	123060606	14	-	16,72,25,2,21	274,173,85,169,321	ENST00000526110.5, ENST00000532182.5, ENST00000525463.5, ENST00000534624.6, ENST00000524590.5, ENST00000227378.7, ENST00000532636.5, ENST00000534567.5, ENST00000532780.5, ENST00000527983.5, ENST00000527387.5, ENST00000525624.5, ENST00000528292.5, ENST00000453788.6
ENSG00000133112.17	A3SS_11500	E011	TPT1	chr13	-	45333470	45337553	45333470	45337388	45338659	45338776	11500	33,38,19,102,65	1981,1753,1041,8351,5883	98,144,143,133,149	9204,14349,13094,9646,12043	265	100	1	1.0	0.006,0.008,0.007,0.005,0.004	0.004,0.004,0.004,0.005,0.005	0.002									49.2059877894741	0.0127038261768248	0.276369300314627	0.59909084079344	0.963383814720192	12.0249499783192	11.627277094031	-0.10427953511943	chr13	45337389	45337466	78	-	35,41,31,20,39	78,77,48,68,79	ENST00000530245.5, ENST00000616577.4
ENSG00000133112.17	A3SS_11500	E010	TPT1	chr13	-	45333470	45337553	45333470	45337388	45338659	45338776	11500	33,38,19,102,65	1981,1753,1041,8351,5883	98,144,143,133,149	9204,14349,13094,9646,12043	265	100	1	1.0	0.006,0.008,0.007,0.005,0.004	0.004,0.004,0.004,0.005,0.005	0.002									5014.18851479868	0.00336245618871918	6.76730390646946	0.0092842987066026	0.28082594360369	56.3852815630602	57.9992273426854	0.191534372144986	chr13	45337302	45337388	87	-	2637,5356,3857,1408,2406	7942,9269,6127,8593,6524	ENST00000379056.5, ENST00000379060.8, ENST00000529421.5, ENST00000530245.5, ENST00000616577.4, ENST00000528619.5, ENST00000379055.5, ENST00000533567.5, ENST00000484604.5, ENST00000530705.6, ENST00000490277.1
ENSG00000142541.17	A3SS_718	E012	RPL13A	chr19	+	49490126	49490297	49490231	49490297	49489849	49489922	718	162,123,63,283,188	6100,6272,3598,15008,9015	258,353,334,224,255	12092,16593,17831,10833,15409	205	100	0.809526308292	1.0	0.013,0.009,0.008,0.009,0.01	0.01,0.01,0.009,0.01,0.008	0.0									44.2664447239922	0.0921833811176205	6.4477734166104	0.0111091481219362	0.304398850699942	14.1680794098714	8.83319124725929	-1.45779183335408	chr19	49490577	49490600	24	+	83,25,24,38,72	20,29,31,43,33	ENST00000476268.6, ENST00000467825.2, ENST00000488946.1
ENSG00000142541.17	A3SS_719	E013	RPL13A	chr19	+	49490231	49490576	49490474	49490576	49489849	49489922	719	6260,6406,3679,15208,9180	2,6,3,24,45	12204,16745,18012,10971,15572	10,14,9,0,20	343	100	0.738374874496	1.0	0.999,0.997,0.997,0.995,0.983	0.997,0.997,0.998,1.0,0.996	-0.003									7.94800313915139	0.0673224340747649	4.02614719065969	0.0448001416318527	0.521448806018558	5.93657057182341	4.08481215501525	-1.0931872975608	chr19	49490601	49490614	14	+	17,10,11,3,5	6,3,10,7,7	ENST00000476268.6, ENST00000488946.1
ENSG00000142541.17	A3SS_719	E014	RPL13A	chr19	+	49490231	49490576	49490474	49490576	49489849	49489922	719	6260,6406,3679,15208,9180	2,6,3,24,45	12204,16745,18012,10971,15572	10,14,9,0,20	343	100	0.738374874496	1.0	0.999,0.997,0.997,0.995,0.983	0.997,0.997,0.998,1.0,0.996	-0.003									53.6575705975715	0.00802248371091526	0.0922677901412214	0.761313687010245	0.993622760736584	12.6842142647347	12.0666748971214	-0.155767536043293	chr19	49490700	49490778	79	+	73,53,22,24,52	64,70,51,76,48	ENST00000476268.6, ENST00000468655.1, ENST00000488946.1
ENSG00000142676.14	A3SS_5865	E009	RPL11	chr1	+	23694659	23695908	23695797	23695908	23693806	23693913	5865	2609,2673,1364,9630,7321	0,1,0,2,0	8940,11291,12046,7067,11166	1,1,0,0,1	1238	100	1	1.0	1.0,0.995,1.0,0.997,1.0	0.999,0.999,1.0,1.0,0.999	-0.001									4334.15839401498	0.000170894240953054	0.0467283641991969	0.828857228877922	1.0	56.0294798318244	56.050083571758	0.00244984105386514	chr1	23694660	23694791	132	+	3010,5422,4086,1562,2928	6556,6580,5206,6923,3895	ENST00000643754.2, ENST00000374550.8, ENST00000443624.6, ENST00000467075.2, ENST00000482370.2, ENST00000458455.2
ENSG00000142676.14	A3SS_5865	E010	RPL11	chr1	+	23694659	23695908	23695797	23695908	23693806	23693913	5865	2609,2673,1364,9630,7321	0,1,0,2,0	8940,11291,12046,7067,11166	1,1,0,0,1	1238	100	1	1.0	1.0,0.995,1.0,0.997,1.0	0.999,0.999,1.0,1.0,0.999	-0.001									247.148045089474	0.00240115208342813	11.8971810309276	0.000562189612891713	0.0601821972780533	25.1677161814673	23.2760063551641	-0.292923341039434	chr1	23694792	23695797	1006	+	187,321,270,120,185	341,321,274,352,237	ENST00000443624.6
ENSG00000143947.13	A3SS_5820	E020	RPS27A	chr2	+	55234118	55234962	55234830	55234962	55233362	55233417	5820	1830,1835,1018,9771,7703	3,2,1,11,21	6595,10770,9775,7129,9385	3,15,11,3,4	812	100	0.392692385397	1.0	0.987,0.991,0.992,0.991,0.978	0.996,0.989,0.991,0.997,0.997	-0.006									4462.16904446066	0.00040211949997446	4.93932023818928	0.0262523591270123	0.428665698068367	56.1938555584503	56.8934922715627	0.0831167686156249	chr2	55234119	55234204	86	+	2526,6492,5241,1407,2480	6503,7704,4629,6984,4854	ENST00000402285.7, ENST00000272317.10, ENST00000404735.1, ENST00000639844.1, ENST00000468810.1, ENST00000478196.6, ENST00000449323.5, ENST00000495843.1
ENSG00000143947.13	A3SS_5820	E021	RPS27A	chr2	+	55234118	55234962	55234830	55234962	55233362	55233417	5820	1830,1835,1018,9771,7703	3,2,1,11,21	6595,10770,9775,7129,9385	3,15,11,3,4	812	100	0.392692385397	1.0	0.987,0.991,0.992,0.991,0.978	0.996,0.989,0.991,0.997,0.997	-0.006									96.6548426564346	0.00332374217927643	4.531064000051	0.0332849170463093	0.469076484580549	15.6968829368319	16.9514146830619	0.25298675378831	chr2	55234205	55234240	36	+	62,120,97,22,55	166,179,120,138,98	ENST00000468810.1, ENST00000495843.1, ENST00000639844.1
ENSG00000143947.13	A3SS_5820	E022	RPS27A	chr2	+	55234118	55234962	55234830	55234962	55233362	55233417	5820	1830,1835,1018,9771,7703	3,2,1,11,21	6595,10770,9775,7129,9385	3,15,11,3,4	812	100	0.392692385397	1.0	0.987,0.991,0.992,0.991,0.978	0.996,0.989,0.991,0.997,0.997	-0.006									3.71874185642338	0.169202263116477	1.19490267030972	0.274342855610558	0.847519814748649	3.88431418854546	2.95144582812092	-0.797455057901776	chr2	55234241	55234241	1	+	8,3,4,1,2	4,2,0,7,5	ENST00000468810.1, ENST00000495843.1
ENSG00000143947.13	A3SS_5820	E023	RPS27A	chr2	+	55234118	55234962	55234830	55234962	55233362	55233417	5820	1830,1835,1018,9771,7703	3,2,1,11,21	6595,10770,9775,7129,9385	3,15,11,3,4	812	100	0.392692385397	1.0	0.987,0.991,0.992,0.991,0.978	0.996,0.989,0.991,0.997,0.997	-0.006									5.3662593047494	0.187419233985427	3.19596026412944	0.0738204048372541	0.614378851187386	5.05198718293883	3.26216822201689	-1.27365062464733	chr2	55234242	55234301	60	+	11,5,5,1,8	5,3,0,8,6	ENST00000468810.1, ENST00000495843.1, ENST00000639844.1
ENSG00000143947.13	A3SS_5820	E024	RPS27A	chr2	+	55234118	55234962	55234830	55234962	55233362	55233417	5820	1830,1835,1018,9771,7703	3,2,1,11,21	6595,10770,9775,7129,9385	3,15,11,3,4	812	100	0.392692385397	1.0	0.987,0.991,0.992,0.991,0.978	0.996,0.989,0.991,0.997,0.997	-0.006									17.6372812489065	0.126138322110102	3.08446793663609	0.0790431128991416	0.627361409169226	8.71342615552584	6.30135986956554	-0.963292006394512	chr2	55234302	55234561	260	+	24,8,25,11,21	20,11,14,19,20	ENST00000468810.1, ENST00000495843.1
