Name	Length	EffectiveLength	PBMC1.CC7W2ANXX.SM2.120717p2.C2	PBMC1.CC7W2ANXX.SM2.120717p2.C6	PBMC1.CC7W2ANXX.SM2.120717p3.B6	PBMC1.CC7W2ANXX.SM2.120717p4.A11	PBMC1.CC7W2ANXX.SM2.120717p4.A3	PBMC1.CC7W2ANXX.SM2.120717p4.B1	PBMC1.CC7W2ANXX.SM2.120717p4.C8	PBMC1.CC7W2ANXX.SM2.120717p4.D5	PBMC1.CC7W2ANXX.SM2.120717p4.E2	PBMC1.CC7W2ANXX.SM2.120717p4.E3	PBMC1.CC7W2ANXX.SM2.120717p4.F5	PBMC1.CC7W2ANXX.SM2.120717p4.H11	PBMC1.CC7W2ANXX.SM2.120717p5.A10	PBMC1.CC7W2ANXX.SM2.120717p5.B5	PBMC1.CC7W2ANXX.SM2.120717p5.C12	PBMC1.CC7W2ANXX.SM2.120717p5.D11	PBMC1.CC7W2ANXX.SM2.120717p5.G1	PBMC1.CC7W2ANXX.SM2.120717p5.G10	PBMC1.CC7W2ANXX.SM2.120717p5.G2	PBMC1.CC7W2ANXX.SM2.120717p6.A12	PBMC1.CC7W2ANXX.SM2.120717p6.C8	PBMC1.CC7W2ANXX.SM2.120717p6.D11	PBMC1.CC7W2ANXX.SM2.120717p6.E10	PBMC1.CC7W2ANXX.SM2.120717p6.F10	PBMC1.CC7W2ANXX.SM2.120717p6.G7	PBMC2.CC86JANXX.SM2.011818p1.A11	PBMC2.CC86JANXX.SM2.011818p1.A8	PBMC2.CC86JANXX.SM2.011818p1.C4	PBMC2.CC86JANXX.SM2.011818p1.E9	PBMC2.CC86JANXX.SM2.011818p3.A10	PBMC2.CC86JANXX.SM2.011818p3.B8	PBMC2.CC86JANXX.SM2.011818p3.C7	PBMC2.CC86JANXX.SM2.011818p3.D10	PBMC2.CC86JANXX.SM2.011818p3.E6	PBMC2.CC86JANXX.SM2.011818p3.F7	PBMC2.CC86JANXX.SM2.011818p3.F9	PBMC2.CC86JANXX.SM2.011818p3.G10	PBMC2.CC86JANXX.SM2.011818p3.G3	PBMC2.CC86JANXX.SM2.011818p3.H4	PBMC2.CC86JANXX.SM2.011818p4.A11	PBMC2.CC86JANXX.SM2.011818p4.A4	PBMC2.CC86JANXX.SM2.011818p4.A5	PBMC2.CC86JANXX.SM2.011818p4.A9	PBMC2.CC86JANXX.SM2.011818p4.B12	PBMC2.CC86JANXX.SM2.011818p4.B3	PBMC2.CC86JANXX.SM2.011818p4.C1	PBMC2.CC86JANXX.SM2.011818p4.C2	PBMC2.CC86JANXX.SM2.011818p4.C4	PBMC2.CC86JANXX.SM2.011818p4.C6	PBMC2.CC86JANXX.SM2.011818p4.D11	PBMC2.CC86JANXX.SM2.011818p4.D2	PBMC2.CC86JANXX.SM2.011818p4.D3	PBMC2.CC86JANXX.SM2.011818p4.E1	PBMC2.CC86JANXX.SM2.011818p4.E11	PBMC2.CC86JANXX.SM2.011818p4.E7	PBMC2.CC86JANXX.SM2.011818p4.F10	PBMC2.CC86JANXX.SM2.011818p4.F3	PBMC2.CC86JANXX.SM2.011818p4.F4	PBMC2.CC86JANXX.SM2.011818p4.F7	PBMC2.CC86JANXX.SM2.011818p4.G3	PBMC2.CC86JANXX.SM2.011818p4.G9	PBMC2.CC86JANXX.SM2.011818p4.H10	PBMC2.CC86JANXX.SM2.011818p4.H8	PBMC2.CC86JANXX.SM2.011818p5.A10	PBMC2.CC86JANXX.SM2.011818p5.A4	PBMC2.CC86JANXX.SM2.011818p5.B1	PBMC2.CC86JANXX.SM2.011818p5.B12	PBMC2.CC86JANXX.SM2.011818p5.B4	PBMC2.CC86JANXX.SM2.011818p5.C11	PBMC2.CC86JANXX.SM2.011818p5.C2	PBMC2.CC86JANXX.SM2.011818p5.C3	PBMC2.CC86JANXX.SM2.011818p5.D10	PBMC2.CC86JANXX.SM2.011818p5.E10	PBMC2.CC86JANXX.SM2.011818p5.E11	PBMC2.CC86JANXX.SM2.011818p5.E3	PBMC2.CC86JANXX.SM2.011818p5.E8	PBMC2.CC86JANXX.SM2.011818p5.E9	PBMC2.CC86JANXX.SM2.011818p5.G6	PBMC2.CC86JANXX.SM2.011818p5.G9	PBMC2.CC86JANXX.SM2.011818p5.H8
ENST00000650983.1|ENSG00000188404.10|OTTHUMG00000034809.5|-|SELL-207|SELL|2442|protein_coding|	2442	2114.77	0	0	0	0	0	0	102.378	0	0	0	0	0	0	0	0	0	52.6655	0	0	0	0	0	0	0	0	0	0	0	101.049	0	0	150.912	0	0	0	0	99.0164	1.01821e-06	0	0	0	0	0	0	0	0.120622	0	0	0	0	0	0	101.358	0	0	0	0	0	0	0.000184751	0	0	25.2549	272.542	0	0	0	0.648531	0	0	0	0	0	0	0	0	0	0.000181938	0	0
ENST00000236147.6|ENSG00000188404.10|OTTHUMG00000034809.5|OTTHUMT00000084233.3|SELL-201|SELL|2358|protein_coding|	2358	2030.77	672.67	0	2923.82	2219	145.615	131.295	321.059	649	94	0	0	347	455.18	525.449	0	14	978.187	390	0	0	0	370.435	1752.09	0	0	1669.68	652.415	428	948.287	0	111.917	580.088	1588	0	0	1359.13	1322.98	1325.76	1518	1773.97	396.806	709.274	857	1860.66	70.3572	288.839	0	495.425	1287.63	361	285	0	973.641	304.14	1147.02	828.077	19	811	197	1037.03	0	22.1041	23.4499	417.458	443	288	733.717	615.582	532	446	322	191.488	2254.57	490.551	741.141	1085	0	1311.2	433	1105.74
ENST00000402285.7|ENSG00000143947.13|OTTHUMG00000151919.18|OTTHUMT00000324424.2|RPS27A-202|RPS27A|705|protein_coding|	705	384.562	342.325	482.076	358.14	391.243	208.4	573.056	0	334.455	398.959	419.201	120.775	88.1679	389.037	352.597	564.389	606.583	755.198	476.729	2620.93	265.126	268.472	289.342	370.869	692.131	239.375	274.88	128.312	86.7014	148.963	246.361	53.5777	39.1896	102.951	0	267.212	92.4963	399.469	474.976	301.914	134.737	23.2875	142.584	160.463	349.01	129.967	61.4621	76.4428	62.6803	21.5285	0	194.427	105.402	323.277	58.5879	77.344	273.209	12.426	171.328	539.113	19.2336	419.532	180.68	30.0084	212.799	73.6637	109.679	73.9444	224.489	147.036	219.631	98.5706	152.117	129.14	131.076	153.041	115.509	157.577	211.147	199.368	137.529
ENST00000272317.10|ENSG00000143947.13|OTTHUMG00000151919.18|OTTHUMT00000324423.15|RPS27A-201|RPS27A|1071|protein_coding|	1071	743.766	286.028	234.661	228.204	467.136	158.966	388.174	210.572	332.003	384.985	439.387	355.863	149.641	378.646	392.298	608.618	571.559	179.705	414.121	1404.15	194.739	198.289	275.742	424.693	483.571	216.403	259.448	85.2188	62.2973	102.159	211.789	54.4615	2.74093	139.532	105.075	265.949	162.285	368.054	344.265	216.188	206.154	90.545	171.615	111.547	215.355	89.8936	50.5379	150.705	53.2043	5.57035	283.567	214.248	99.7348	222.939	69.8049	66.2129	174.462	15.1363	97.8804	420.766	49.9991	382.715	170.499	113.08	224.607	106.788	62.8117	82.4747	157.219	131.661	255.194	63.4222	145.84	109.428	217.513	131.298	100.477	136.086	188.055	200.083	130.773
ENST00000449323.5|ENSG00000143947.13|OTTHUMG00000151919.18|OTTHUMT00000326268.2|RPS27A-204|RPS27A|422|protein_coding|	422	148.427	0	20.9987	0	0	0	0	0	0	3.31607e-07	0	0	0	0	13.9329	0	0	0	0	0	0	0	0	0	0	0.000329626	0	0	0	0	0	3.8511	0	0	0	0	0	0	0	0	0	0	0	0	0	6.48586	0	0	0	0	0	0	6.86285	0	9.36457	6.44302	0	6.35691	0.0203094	0	1.6721e-07	0	0	0	0	0	0	0	0	0	0	0.00680334	0	0	0	0	0	0	0	0	0
ENST00000404735.1|ENSG00000143947.13|OTTHUMG00000151919.18|OTTHUMT00000324415.2|RPS27A-203|RPS27A|796|protein_coding|	796	472.441	98.6475	18.2388	83.4434	173.073	24.6337	66.3113	647.757	24.5415	34.056	7.41246	724.925	127.183	157.93	116.087	151.993	0.000587979	394.615	163.15	895.516	98.135	75.5724	0.0982252	152.583	69.9983	2.222	98.6648	70.4693	0.00133948	27.5084	3.84923	0	3.70777	122.634	343.925	74.9211	347.218	261.811	130.836	42.2926	41.0684	69.7979	65.2037	25.9902	81.6264	30.6531	0	126.135	10.1154	1.90117	286.774	0	5.1873e-05	0	10.2426	0	39.3294	28.0248	19.7711	140.431	23.7906	229.742	37.8215	194.064	99.5941	32.5482	35.5088	28.5809	12.2918	158.272	106.175	0.00042993	29.0497	26.8802	78.9541	28.8541	80.0138	8.65567e-05	7.79718	126.549	90.5819
ENST00000409115.7|ENSG00000187514.16|OTTHUMG00000153810.3|OTTHUMT00000332552.1|PTMA-202|PTMA|1221|protein_coding|	1221	893.766	281.838	3108.18	2351.62	2561.79	1025.14	869.33	1269.45	602.533	168.441	726.019	530.657	1711	553.184	1152.23	550.919	355.34	1374.74	1552.54	791.223	1372.4	1385.05	1006.22	1046.41	345.611	451.872	232.742	381.566	291.884	186.791	263.102	206.835	255.626	540.932	297	281.097	286.982	855.121	372.967	682.859	413.904	69.5869	388.344	594.17	364.414	93.4071	161.468	77.9605	327.777	445	96.3957	370.684	214.022	508.868	286.752	246.759	323.733	80.4748	316.316	232.336	368.383	784.205	254.772	267.327	172.409	410.901	391.449	691.687	301.905	488	940.93	164.029	772	258.338	654.736	460.014	143.796	271.744	24.8022	767.462	249.478
ENST00000341369.11|ENSG00000187514.16|OTTHUMG00000153810.3|OTTHUMT00000332553.1|PTMA-201|PTMA|1212|protein_coding|	1212	884.766	232.711	184.523	230.118	0	2.84438e-07	30.714	176.252	0	185.798	139.605	365.969	119.752	0	0	73.2082	10.4994	10.3461	285.934	248.984	0	0	44.0991	301.37	203.58	273.187	0	117.891	0	0	38.0874	0	0	58.6833	0	49.85	127.541	15.5422	113.708	0	0	64.4101	0	0	38.1804	0	239.987	0	0	0	199.233	133.316	60.0281	0	0	0	0	0	0	0	0	20.5632	156.48	28.0103	0	0	0	119.205	0	0	46.9943	0	0	0	0	177.459	0	0	0	45.5263	0
ENST00000412128.1|ENSG00000187514.16|OTTHUMG00000153810.3|OTTHUMT00000332559.1|PTMA-206|PTMA|863|protein_coding|	863	538.297	0	2.12199	0	0	0	1.2956	0	0	0	0	0	3.1653	0	0	0	0	0	55.0898	0	0	2.10971	0	0	0	0	0	0	0	0	0	2.26829	0	0	0	0	0	0	0	0	0	0	2.34334	0	2.12147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.54557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000307839.10|ENSG00000174748.22|OTTHUMG00000130485.10|OTTHUMT00000252885.3|RPL15-201|RPL15|2155|protein_coding|	2155	1827.77	533.778	155.296	133.503	2396.67	469.827	0	256.244	454.641	70.4683	48.1401	31.122	158.421	507.911	1256.81	584.433	38.0244	1648.86	714.307	4323.57	202.764	1174.45	12.5878	13.348	122.002	466.502	403.229	5.6552	214.052	513.638	97.2695	212.566	863.784	129.94	133.394	743.473	306.668	821.659	579.054	754.217	739.659	0	769.576	283.192	327.27	117.526	493.716	328.493	203.748	642.513	70.1617	12.7842	395.985	23.2442	485.47	0	888.838	274.259	431.255	240.372	136.943	4.33563	1218.99	188.003	373.171	20.7785	266.106	808.098	1348.14	224.85	771.682	173.874	1059.79	124.766	750.838	1024.02	499.378	800.095	277.615	95.4986	614.576
ENST00000413699.7|ENSG00000174748.22|OTTHUMG00000130485.10|OTTHUMT00000497269.2|RPL15-204|RPL15|2221|protein_coding|	2221	1893.77	0	0	11.3261	0	17.5339	0	10.7843	0	0	2.5076	0	0	460.733	0	87.0699	0	0	0	0	65.3883	0	33.16	72.8156	0	0	0	1.66333	0	0	32.4939	0	0	0	0	0	0	0	130.425	0	0	91.6809	0	2.26821e-05	0	0	167.102	0	0	0	0	0	0	0	0	4.07215	0	0	0	0	0	0	0	19.6765	0	0	0	0	0	0	0	27.2226	0	0	0	0	0	0	0	35.3568	0
ENST00000645079.1|ENSG00000174748.22|OTTHUMG00000130485.10|OTTHUMT00000494373.1|RPL15-216|RPL15|566|protein_coding|	566	258.386	53.2891	15.581	114.052	113.321	75.049	20.3923	62.2005	0.00446749	225.156	8.18093	62.6128	0.0106157	0	76.5477	188.302	189.338	152.707	18.4543	147.027	0	37.6742	0.0020205	0	176.595	119.316	20.2296	0	43.2531	31.8163	2.81742	0	0	3.53349e-08	44.5538	37.0517	1.46437e-07	2.7216	46.4886	0	0	0	0	0	39.8449	1.61595	14.7241	1.43403	0.210257	15.6892	12.8587	27.9264	17.9235	14.8267	0	3.97617	2.65191e-07	0	0	0	9.59112	2.95032	0	13.516	0.00157172	0	15.9874	49.4475	0	79.0306	33.9918	24.46	0	33.9183	0.0511241	23.3722	26.7357	15.9983	0	0	0
ENST00000456530.7|ENSG00000174748.22|OTTHUMG00000130485.10|OTTHUMT00000494377.1|RPL15-209|RPL15|3182|protein_coding|	3182	2854.77	1.78878	0	1.62647	6.3024	4.06012	0	0	1.54197	1.39114	0	10.2833	7.68276	1.6809	4.05436	1.84334e-05	0	10.7531	7.85971	0	4.40349	0	13.3438	9.70231	1.44009	0	0	1.81682	1.61286	0	4.6176	2.45832	15.1461	0	0	1.44074	1.94146	0	5.32555	14.1364	4.65626	0	3.36298	0	0	6.35805	2.73508	8.43137	1.76258	0	0	0.416743	7.97087	0.300946	0	7.3279	4.61325	0	1.15812	1.66583	78.7572	0	5.32336	5.88792	9.70495	16.9682	3.22016	0	0	0	0	1.22383	0	0	1.81662	0	0	3.34925	11.3822	0.320844	16.077
ENST00000412097.5|ENSG00000174748.22|OTTHUMG00000130485.10|OTTHUMT00000341021.2|RPL15-203|RPL15|562|protein_coding|	562	255.01	221.535	284.087	92.8797	325	4.75471	41.6891	83.3883	185.765	294.873	286.098	386.484	149.311	270.04	187.049	364.744	425.621	203.14	184.503	21.6229	196.279	171.348	141.157	260.016	408.758	245.073	108.268	52.8795	48.0635	144.963	111.11	22.858	44.5548	97.6156	69.5113	91.9805	93.3333	11.6764	12.3196	103.082	49.7071	0	4.13775	0	69.8689	33.2496	59.8684	24.3721	0	13.2375	46.0509	67.3491	104.101	66.7863	62.2139	38.7291	31.6949	57.645	14.5619	97.9205	37.3221	47.2834	69.4132	98.5929	111.997	60.3122	79.6019	1.29616	3.41254e-06	119.995	185.218	68.9785	25.6301	46.4515	126.511	104.644	9.26751e-05	153.358	73.3651	97.8108	68.9753
ENST00000644684.1|ENSG00000174748.22|OTTHUMG00000130485.10|OTTHUMT00000494374.1|RPL15-215|RPL15|564|protein_coding|	564	256.69	154.378	36.031	80.8078	4.49866e-08	50.1541	17.0593	90.882	125.462	130.124	89.6769	0.000254964	89.1833	152.321	209.981	322.445	157.432	388.784	204.213	404.759	240.091	136.442	20.3545	99.1512	281.854	149.375	0	0	0	5.9466e-06	0	0.00188424	0	0	0	0	0	0	0	0	0	0	0	0	0	31.9524	0	0	5.94345	0	0	0	34.5367	29.1116	6.7983e-05	0	3.80175e-06	38.7896	1.81651	8.90744e-06	24.358	0	22.1238	0	0	0	0	0	0	17.9356	20.5243	0	0	0	0	0	68.1769	0	0	0	0
ENST00000415719.5|ENSG00000174748.22|OTTHUMG00000130485.10|OTTHUMT00000341023.1|RPL15-205|RPL15|830|protein_coding|	830	505.83	0	0	0	0	0	9.85402e-07	0	0	0	23.027	0	0.412186	0	0	0	52.346	0	41.2001	0	0	0	0	0	25.769	0	0	1.94983	0	11.2096	0	0	0	22.667	0	0	0	6.56174	0	0	0	0	0	0	0	0	0.279074	0	0	0	3.37856e-08	0	0	0	0	0	0	0	0	16.0086	0	0	5.78005	0	0	0	0	0	0	0	0	0	0	29.9468	0	0	0	0	0	0	0
ENST00000644185.1|ENSG00000174748.22|OTTHUMG00000130485.10|OTTHUMT00000340868.2|RPL15-214|RPL15|824|protein_coding|	824	499.933	0	0.00651168	0	0	5.64821	0.025987	0	104.912	0.00125394	110.416	0.000179116	8.02837	294.473	0	209.298	3.10834e-05	0	0	0	239.338	0	206.43	711.521	0.000132439	0	0	59.0985	35.8797	0	74.5516	56.6301	0	9.94088e-06	14.5087	0	7.14067e-06	0	1.45475	43.8575	0	3.16346	0	33.0649	0	0	64.294	0	0	0	0.00230274	0.0390969	0	0.000260769	0	59.2094	0	0	0	2.34047	0	0.00999408	0	86.7569	1.34727e-05	59.0833	4.26161	0	0	0.192721	0.0829604	0	0	0	0	0	0	0	0.000487641	143.661	0
